ImprisonRef,ImprisonSystemId,ImprisonID,Trialref,CentralTrialImprison,Imprisondate,Imprisondate_as_date,Prison,Location,Moving,Fate_in_prison,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"IM_LA_85","LA",85,"T_LA_286",1,,,"Tolbooth","Edinburgh",0,"Released","LEM","06_28_01_15:50:30","LEM","06_28_01_15:50:50"
"IM_LA_86","LA",86,"T_LA_287",1,,,"Tolbooth","Edinburgh",0,"Released","LEM","06_28_01_15:53:20","LEM","06_28_01_15:53:26"
"IM_LA_87","LA",87,"T_LA_288",0,"14_6_1661","06_14_61_00:00:00","Tolbooth","Dalkeith",0,,"LEM","06_29_01_13:37:34","LEM","07_16_01_10:54:53"
"IM_LA_88","LA",88,"T_LA_302",1,"9_8_1661","08_09_61_00:00:00","Tolbooth","Edinburgh",0,,"LEM","06_29_01_13:49:41","LEM","06_29_01_13:49:49"
"IM_LA_89","LA",89,"T_LA_322",0,,,,,0,,"LEM","07_03_01_10:34:16","LEM","07_03_01_10:34:21"
"IM_LA_90","LA",90,"T_LA_322",1,,,,"Edinburgh",0,"Released","LEM","07_03_01_10:34:28","LEM","07_03_01_10:34:37"
"IM_LA_91","LA",91,"T_LA_323",1,,,,"Edinburgh",0,"Released","LEM","07_03_01_10:36:23","LEM","07_03_01_10:36:27"
"IM_LA_92","LA",92,"T_LA_325",1,,,"Tolbooth","Edinburgh",0,,"LEM","07_03_01_12:24:24","LEM","07_03_01_12:24:35"
"IM_LA_93","LA",93,"T_LA_326",0,,,,"Haddington",1,,"LEM","07_03_01_15:44:15","LEM","10_28_02_13:08:24"
"IM_LA_94","LA",94,"T_LA_326",1,,,"Tolbooth","Edinburgh",0,,"LEM","07_03_01_15:44:41","LEM","10_28_02_13:08:27"
"IM_LA_96","LA",96,"T_LA_288",0,,,,"Niddry",1,"Moved","LEM","07_04_01_13:17:28","LEM","07_04_01_13:17:47"
"IM_LA_97","LA",97,"T_LA_345",0,,,,"Culross",0,,"LEM","07_05_01_11:48:25","jhm","10_11_02_16:26:57"
"IM_LA_98","LA",98,"T_LA_346",0,,,"Tolbooth","Kirkcaldy",0,,"LEM","07_05_01_12:00:12","jhm","10_11_02_16:27:47"
"IM_LA_99","LA",99,"T_LA_348",0,,,"Castle","Glasgow",0,,"LEM","07_05_01_12:21:07","jhm","10_11_02_16:28:00"
