Parishref,ParishId,ParishSystemId,Parish_Name,Parish_TLA,PFID,Medieval_Diocese,Medieval_Deanery,Parish_County,Parish_Burgh,Parish_NGR_Letters,Parish_NGR_Easting,Parish_NGR_Northing,Date_Comment,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"P_ST_1165",1165,"ST","Longformacus","LMS",1165,"Merse","Merse",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1166",1166,"ST","Lamington_&_Wandel","LMW",1166,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1167",1167,"ST","Logie-Mar","LMX",1167,"Garioch","Marr",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1168",1168,"ST","Lundie","LND",1168,"Merse","Angus",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1169",1169,"ST","Lanark","LNK",1169,"Teviotdale","Lanark",,,"NS",,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1170",1170,"ST","Lethnot","LNX",1170,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1171",1171,"ST","Logiealmond","LOA",1171,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1172",1172,"ST","Logie_Buchan","LOB",1172,"Garioch","Buchan",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1173",1173,"ST","Logie-Coldstone","LOC",1173,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1174",1174,"ST","Logie_Easter","LOE",1174,"Ross",,,,"NH",777,760,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1175",1175,"ST","Longforgan","LOF",1175,"Merse","Gowrie",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1176",1176,"ST","Logie","LOI",1176,"Dunblane",,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1177",1177,"ST","Longside","LON",1177,"Garioch","Buchan",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1178",1178,"ST","Logie_Pert","LOP",1178,"Merse","Angus",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1179",1179,"ST","Logierait","LOR",1179,"South_of_Forth","Atholl_&_Drumalbane",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1180",1180,"ST","Loth","LOT",1180,,,,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1181",1181,"ST","Loudoun","LOU",1181,"Teviotdale","Kyle_&_Cunningham",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1182",1182,"ST","Lonmay","LOY",1182,"Garioch","Buchan",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1183",1183,"ST","Logie-Dundee","LOX",1183,"Merse","Angus",,,"NO",380,310,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1184",1184,"ST","Larbert","LRB",1184,"Merse","Linlithgow",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1185",1185,"ST","Lochrutton","LRT",1185,"Teviotdale","Desnes",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
"P_ST_1186",1186,"ST","Leslie","LSL",1186,"South_of_Forth","Fife_&_Strathearn",,,,,,,,"ST","03_15_01_14:34:10","ST","03_15_01_14:34:10"
