CommissionRef,CommissionSystemId,CommissionID,Trialref,Commbody,Commtype,Commexists,Commdate,Commdate_as_date,Seal,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"CO_LA_630","LA",630,"T_LA_786","Privy_Council","Interrogation_and_Arrest",1,"8_9_1630","09_08_30_00:00:00","signet",,"LEM","09_06_01_13:30:25","LEM","09_06_01_13:30:36"
"CO_LA_631","LA",631,"T_LA_787","Privy_Council","Interrogation_and_Arrest",1,"8_9_1630","09_08_30_00:00:00","signet",,"LEM","09_06_01_13:31:56","LEM","09_06_01_13:32:06"
"CO_LA_632","LA",632,"T_LA_788","Privy_Council","Interrogation_and_Arrest",1,"8_9_1630","09_08_30_00:00:00","signet",,"LEM","09_06_01_13:34:17","LEM","09_06_01_13:34:30"
"CO_LA_633","LA",633,"T_LA_789","Privy_Council","Interrogation_and_Arrest",1,"8_9_1630","09_08_30_00:00:00","signet",,"LEM","09_06_01_13:39:46","LEM","09_06_01_13:39:58"
"CO_LA_634","LA",634,"T_LA_790","Privy_Council","Interrogation_and_Arrest",1,"8_9_1630","09_08_30_00:00:00",,,"LEM","09_06_01_13:42:12","LEM","09_06_01_13:42:19"
"CO_LA_635","LA",635,"T_LA_791","Privy_Council","Interrogation_and_Arrest",1,"8_9_1630","09_08_30_00:00:00","signet",,"LEM","09_06_01_13:51:12","LEM","09_06_01_13:51:21"
"CO_LA_636","LA",636,"T_LA_792","Privy_Council","Interrogation_and_Arrest",1,"8_9_1630","09_08_30_00:00:00","signet",,"LEM","09_06_01_15:07:05","LEM","09_06_01_15:07:15"
"CO_LA_637","LA",637,"T_LA_793","Privy_Council","Interrogation_and_Arrest",1,"8_9_1630","09_08_30_00:00:00","signet",,"LEM","09_06_01_15:09:06","LEM","09_06_01_15:09:15"
"CO_LA_638","LA",638,"T_LA_794","Privy_Council","Interrogation_and_Arrest",1,"8_9_1630","09_08_30_00:00:00","signet",,"LEM","09_06_01_15:10:51","LEM","09_06_01_15:11:00"
"CO_LA_639","LA",639,"T_LA_795","Privy_Council","Interrogation_and_Arrest",1,"8_9_1630","09_08_30_00:00:00","signet",,"LEM","09_06_01_15:12:43","LEM","09_06_01_15:12:54"
"CO_LA_64","LA",64,"T_LA_15","Privy_Council","Investigation",1,"2_2_1630","02_02_30_00:00:00",,"Charges_dropped_against_Lady_Manderston.","LEM","06_13_01_10:29:43","jhm","10_21_02_14:52:38"
