Case_personRef,Case_personID,Case_personSystemId,CaseRef,PersonRef,Involvement,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"CP_LA_3443",3443,"LA","C_LA_2921","LA_978","Commissioner",,"LEM","10_19_01_13:45:33","LEM","10_19_01_13:45:53"
"CP_LA_3444",3444,"LA","C_LA_2921","JO_113","Commissioner",,"LEM","10_19_01_13:45:55","LEM","10_19_01_13:46:07"
"CP_LA_3445",3445,"LA","C_LA_2921","LA_979","Commissioner",,"LEM","10_19_01_13:46:17","LEM","10_19_01_13:46:31"
"CP_LA_3446",3446,"LA","C_LA_2921","LA_980","Commissioner",,"LEM","10_19_01_13:46:34","LEM","10_19_01_13:46:51"
"CP_LA_3447",3447,"LA","C_LA_2921","LA_981","Commissioner",,"LEM","10_19_01_13:46:54","LEM","10_19_01_13:47:26"
"CP_LA_3448",3448,"LA","C_LA_2921","LA_518","Commissioner",,"LEM","10_19_01_13:47:31","LEM","10_19_01_13:48:13"
"CP_LA_3449",3449,"LA","C_LA_2921","LA_982","Commissioner",,"LEM","10_19_01_13:48:15","LEM","10_19_01_13:48:39"
"CP_LA_345",345,"LA","C_EGD_849","LA_215","Commissioner",,"LEM","06_25_01_15:13:01","LEM","06_25_01_15:13:29"
"CP_LA_3450",3450,"LA","C_EGD_1312","JO_100","Investigator",,"LEM","10_19_01_15:19:50","LEM","10_19_01_15:20:06"
"CP_LA_3451",3451,"LA","C_EGD_1312","JO_102","Investigator",,"LEM","10_19_01_15:20:10","LEM","10_19_01_15:20:43"
"CP_LA_3452",3452,"LA","C_EGD_1312","JO_103","Investigator",,"LEM","10_19_01_15:20:47","jhm","11_18_03_10:31:51"
"CP_LA_3453",3453,"LA","C_EGD_1312","JO_680","Investigator",,"LEM","10_19_01_15:21:23","LEM","10_19_01_15:21:29"
"CP_LA_3454",3454,"LA","C_EGD_1312","LA_984","Investigator",,"LEM","10_19_01_15:21:32","LEM","10_19_01_15:21:45"
"CP_LA_3455",3455,"LA","C_EGD_1312","LA_985","Investigator",,"LEM","10_19_01_15:21:52","LEM","10_19_01_15:22:06"
"CP_LA_3456",3456,"LA","C_EGD_1312","JO_107","Investigator",,"LEM","10_19_01_15:22:25","LEM","10_19_01_15:22:49"
"CP_LA_3457",3457,"LA","C_EGD_1322","JO_108","Investigator",,"LEM","10_19_01_16:02:47","LEM","10_19_01_16:02:56"
"CP_LA_3458",3458,"LA","C_EGD_1322","JO_109","Investigator",,"LEM","10_19_01_16:03:15","LEM","10_19_01_16:03:27"
"CP_LA_3459",3459,"LA","C_EGD_1322","JO_110","Investigator",,"LEM","10_19_01_16:03:30","LEM","10_19_01_16:03:36"
"CP_LA_346",346,"LA","C_EGD_848","LA_211","Commissioner",,"LEM","06_25_01_15:14:44","LEM","06_25_01_15:14:47"
"CP_LA_3460",3460,"LA","C_EGD_1322","JO_111","Investigator",,"LEM","10_19_01_16:03:36","LEM","10_19_01_16:04:05"
"CP_LA_347",347,"LA","C_EGD_848","LA_213","Commissioner",,"LEM","06_25_01_15:14:51","LEM","06_25_01_15:14:55"
"CP_LA_348",348,"LA","C_EGD_848","LA_212","Commissioner",,"LEM","06_25_01_15:14:56","LEM","06_25_01_15:15:02"
"CP_LA_349",349,"LA","C_EGD_848","LA_214","Commissioner",,"LEM","06_25_01_15:15:12","LEM","06_25_01_15:15:15"
"CP_LA_35",35,"LA","C_EGD_166","LA_45","Expert_Witness","he_supervised_the_movements_of_Hamilton","LEM","05_18_01_16:39:02","LEM","05_18_01_16:40:19"
"CP_LA_350",350,"LA","C_EGD_848","LA_215","Commissioner",,"LEM","06_25_01_15:15:18","LEM","06_25_01_15:15:21"
"CP_LA_351",351,"LA","C_EGD_851","LA_216","Commissioner",,"LEM","06_25_01_15:22:30","LEM","06_25_01_15:23:18"
"CP_LA_352",352,"LA","C_EGD_851","LA_519","Commissioner",,"LEM","06_25_01_15:23:32","jhm","12_15_03_10:34:08"
"CP_LA_353",353,"LA","C_EGD_851","JO_1464","Commissioner",,"LEM","06_25_01_15:24:15","jhm","11_20_03_11:57:52"
"CP_LA_354",354,"LA","C_EGD_851","LA_217","Commissioner",,"LEM","06_25_01_15:25:25","LEM","06_25_01_15:26:13"
"CP_LA_355",355,"LA","C_EGD_851","LA_218","Commissioner",,"LEM","06_25_01_15:27:35","LEM","06_25_01_15:28:29"
"CP_LA_356",356,"LA","C_EGD_851","LA_219","Commissioner",,"LEM","06_25_01_15:28:37","LEM","06_25_01_15:29:45"
"CP_LA_357",357,"LA","C_EGD_851","LA_220","Commissioner",,"LEM","06_25_01_15:29:56","LEM","06_25_01_15:30:22"
"CP_LA_358",358,"LA","C_EGD_851","LA_221","Commissioner",,"LEM","06_25_01_15:30:29","LEM","06_25_01_15:31:06"
"CP_LA_359",359,"LA","C_EGD_852","LA_216","Commissioner",,"LEM","06_25_01_15:33:33","LEM","06_25_01_15:33:36"
"CP_LA_36",36,"LA","C_EGD_171","LA_48","Clerk","He_recorded_original_call_for_trial.","LEM","05_21_01_15:59:48","LEM","05_21_01_16:23:29"
"CP_LA_360",360,"LA","C_EGD_852","LA_519","Commissioner",,"LEM","06_25_01_15:33:39","jhm","12_15_03_10:34:08"
"CP_LA_361",361,"LA","C_EGD_852","JO_1464","Commissioner",,"LEM","06_25_01_15:33:57","jhm","11_20_03_11:57:52"
"CP_LA_362",362,"LA","C_EGD_852","LA_217","Commissioner",,"LEM","06_25_01_15:34:15","LEM","06_25_01_15:34:19"
"CP_LA_363",363,"LA","C_EGD_852","LA_218","Commissioner",,"LEM","06_25_01_15:34:22","LEM","06_25_01_15:34:27"
"CP_LA_364",364,"LA","C_EGD_852","LA_220","Commissioner",,"LEM","06_25_01_15:34:31","LEM","06_25_01_15:34:34"
"CP_LA_365",365,"LA","C_EGD_852","LA_221","Commissioner",,"LEM","06_25_01_15:34:38","LEM","06_25_01_15:34:50"
"CP_LA_366",366,"LA","C_EGD_855","LA_21","Commissioner",,"LEM","06_26_01_09:42:54","LEM","06_26_01_09:43:30"
"CP_LA_367",367,"LA","C_EGD_855","LA_222","Commissioner",,"LEM","06_26_01_09:43:43","LEM","06_26_01_09:44:10"
"CP_LA_368",368,"LA","C_EGD_855","LA_223","Commissioner",,"LEM","06_26_01_09:44:48","LEM","06_26_01_09:45:51"
"CP_LA_369",369,"LA","C_EGD_855","LA_224","Commissioner",,"LEM","06_26_01_09:45:53","LEM","06_26_01_09:46:22"
"CP_LA_37",37,"LA","C_LA_2638","LA_52","Witch-pricker",,"LEM","05_22_01_12:21:01","LEM","05_22_01_12:22:32"
"CP_LA_370",370,"LA","C_EGD_854","LA_21","Commissioner","2_12_1612","LEM","06_26_01_10:03:29","LEM","06_26_01_10:43:01"
"CP_LA_371",371,"LA","C_EGD_854","LA_222","Commissioner","2_12_1612","LEM","06_26_01_10:03:35","LEM","06_26_01_10:43:04"
"CP_LA_372",372,"LA","C_EGD_854","LA_223","Commissioner","2_12_1612","LEM","06_26_01_10:03:47","LEM","06_26_01_10:43:06"
"CP_LA_373",373,"LA","C_EGD_854","LA_224","Commissioner","2_12_1612","LEM","06_26_01_10:03:52","LEM","06_26_01_10:43:09"
"CP_LA_374",374,"LA","C_EGD_857","LA_21","Commissioner","2_12_1612","LEM","06_26_01_10:05:50","LEM","06_26_01_10:50:53"
"CP_LA_375",375,"LA","C_EGD_857","LA_222","Commissioner","2_12_1612","LEM","06_26_01_10:06:02","LEM","06_26_01_10:50:55"
"CP_LA_376",376,"LA","C_EGD_857","LA_223","Commissioner","2_12_1612","LEM","06_26_01_10:06:10","LEM","06_26_01_10:50:57"
"CP_LA_377",377,"LA","C_EGD_857","LA_224","Commissioner","2_12_1612","LEM","06_26_01_10:06:14","LEM","06_26_01_10:51:05"
"CP_LA_378",378,"LA","C_EGD_856","LA_21","Commissioner",,"LEM","06_26_01_10:08:03","LEM","06_26_01_10:08:07"
"CP_LA_379",379,"LA","C_EGD_856","LA_222","Commissioner",,"LEM","06_26_01_10:08:09","LEM","06_26_01_10:08:15"
"CP_LA_38",38,"LA","C_EGD_183","LA_47","Investigator","kirk_session_presbytery_interrogation","LEM","05_22_01_15:32:30","LEM","05_22_01_15:32:50"
