MentionRef,MentionSystemId,MentionID,Trialref,Mentiondate,Mentiondate_as_date,Mentiontype,TrialOfAccusedRef,TrialOfFirstName,TrialOfLastName,MentionedInTrialOfRef,dateOfMentionedTrial,dateOfMentionedTrial_as_date,FateOfMentionedWitch,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"MW_LA_348","LA",348,"T_LA_1063",,,"Denounced","A_EGD_1310","Agnes","Hunter","T_LA_1062",,,,,"LEM","10_19_01_16:13:48","LEM","10_19_01_16:14:07"
"MW_LA_349","LA",349,"T_LA_1064",,,"Denounced","A_EGD_1310","Agnes","Hunter","T_LA_1062",,,,,"LEM","10_19_01_16:15:21","LEM","10_19_01_16:15:38"
"MW_LA_350","LA",350,"T_LA_1065",,,"Denounced","A_EGD_1310","Agnes","Hunter","T_LA_1062",,,,,"LEM","10_19_01_16:16:54","LEM","10_19_01_16:17:08"
"MW_LA_351","LA",351,"T_LA_1066",,,"Denounced","A_EGD_1310","Agnes","Hunter","T_LA_1062",,,,,"LEM","10_19_01_16:20:53","LEM","10_19_01_16:21:03"
"MW_LA_352","LA",352,"T_LA_1067",,,"Denounced","A_EGD_1310","Agnes","Hunter","T_LA_1062",,,,,"LEM","10_19_01_16:22:14","LEM","10_19_01_16:22:24"
"MW_LA_353","LA",353,"T_LA_1068",,,"Denounced","A_EGD_1310","Agnes","Hunter","T_LA_1062",,,,,"LEM","10_19_01_16:24:12","LEM","10_19_01_16:24:24"
"MW_LA_354","LA",354,"T_LA_1069",,,"Denounced","A_EGD_1310","Agnes","Hunter","T_LA_1062",,,,,"LEM","10_19_01_16:25:39","LEM","10_19_01_16:25:48"
"MW_LA_355","LA",355,"T_LA_1080","31_12_1644","12_31_44_00:00:00","Accomplice","A_EGD_1296","Margaret","Watsoun","T_LA_1079",,,"executed","penitent","LEM","10_22_01_16:12:22","LEM","10_22_01_16:13:39"
"MW_LA_356","LA",356,"T_LA_1081","31_12_1644","12_31_44_00:00:00","Accomplice","A_EGD_1296","Margaret","Watsoun","T_LA_1079",,,"executed","penitent","LEM","10_22_01_16:15:25","LEM","10_22_01_16:15:53"
"MW_LA_357","LA",357,"T_LA_1082","31_12_1644","12_31_44_00:00:00","Accomplice","A_EGD_1296","Margaret","Watsoun","T_LA_1079",,,,,"LEM","10_22_01_16:18:11","LEM","10_22_01_16:18:22"
"MW_LA_358","LA",358,"T_LA_1083","31_12_1644","12_31_44_00:00:00","Accomplice","A_EGD_1296","Margaret","Watsoun","T_LA_1079",,,,,"LEM","10_22_01_16:20:44","LEM","10_22_01_16:20:54"
"MW_LA_359","LA",359,"T_LA_1084","31_12_1644","12_31_44_00:00:00","Accomplice","A_EGD_1296","Margaret","Watsoun","T_LA_1079",,,,,"LEM","10_22_01_16:23:09","LEM","10_22_01_16:23:44"
"MW_LA_360","LA",360,"T_LA_1085","11_7_1643","07_11_43_00:00:00",,"A_EGD_1266","Katherine","Cragie","T_LA_1014",,,,"mentioned_as_a_person_who_heals_cows.","LEM","10_23_01_09:42:16","LEM","09_09_02_14:42:11"
"MW_LA_361","LA",361,"T_LA_1086","11_7_1643","07_11_43_00:00:00",,"A_EGD_1266","Katherine","Cragie","T_LA_1014",,,,"mentioned_as_a_healer_of_the_worm","LEM","10_23_01_09:44:57","LEM","09_09_02_14:42:23"
"MW_LA_362","LA",362,"T_LA_1087","11_7_1643","07_11_43_00:00:00",,"A_EGD_1266","Katherine","Cragie","T_LA_1014",,,,"mentioned_only_as_a_healer,_not_as_a_'witch'","LEM","10_23_01_09:48:07","LEM","09_09_02_14:41:58"
"MW_LA_363","LA",363,"T_LA_1097",,,"Accomplice","A_EGD_1352","Margaret","Finlasoun","T_LA_1096",,,,,"LEM","10_23_01_13:18:38","LEM","10_23_01_13:18:53"
"MW_LA_364","LA",364,"T_LA_1098","26_2_1650","02_26_50_00:00:00","Accomplice","A_EGD_1352","Margaret","Finlasoun","T_LA_1096",,,"Burnt",,"LEM","10_23_01_13:21:33","LEM","10_23_01_13:22:16"
