ComplaintRef,ComplaintSystemId,ComplaintID,Trialref,Complaint,Complaint_type,Complaintdate,Complaintdate_as_date,Wherelodged,Accused_familyRef,PersonRef,Involvement,WitchPricker,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"CP_LA_17","LA",17,"T_LA_206",1,"Other","21_5_1601","05_21_01_00:00:00","Privy_Council",,"LA_191",,0,"LEM","06_25_01_12:22:44","LEM","06_25_01_12:25:10"
"CP_LA_18","LA",18,"T_LA_48",1,"Suspect's","27_7_1605","07_27_05_00:00:00","Privy_Council",,,,0,"LEM","06_25_01_13:06:46","LEM","06_25_01_13:07:03"
"CP_LA_19","LA",19,"T_LA_208",1,"Family_member","20_7_1609","07_20_09_00:00:00","Privy_Council","AF_LA_65",,,0,"LEM","06_25_01_14:54:56","LEM","06_25_01_14:55:41"
"CP_LA_2","LA",2,"T_LA_83",1,"Unknown","1_1629","01_01_29_00:00:00","Privy_Council",,,,0,"LEM","06_12_01_13:11:00","LEM","06_12_01_13:11:44"
"CP_LA_20","LA",20,"T_LA_326",1,"Other","7_11_1661","11_07_61_00:00:00","Privy_Council",,"LA_298","Investigator",0,"LEM","07_03_01_15:45:02","LEM","07_03_01_15:47:45"
"CP_LA_21","LA",21,"T_LA_302",1,"Suspect's","18_9_1661","09_18_61_00:00:00","Privy_Council",,,,0,"LEM","07_05_01_10:49:05","LEM","07_05_01_10:49:55"
"CP_LA_22","LA",22,"T_LA_325",1,"Suspect's","18_9_1661","09_18_61_00:00:00",,,,,0,"LEM","07_17_01_15:19:28","LEM","07_17_01_15:19:50"
"CP_LA_23","LA",23,"T_LA_325",1,"Family_member",,,,,,,0,"LEM","07_17_01_15:32:30","LEM","07_17_01_15:32:39"
"CP_LA_24","LA",24,"T_LA_489",1,"Suspect's","10_7_1628","07_10_28_00:00:00","Privy_Council",,,,0,"LEM","07_19_01_09:34:35","LEM","07_19_01_09:34:47"
"CP_LA_25","LA",25,"T_LA_509",1,"Suspect's","11_11_1628","11_11_28_00:00:00","Privy_Council",,,,0,"LEM","07_19_01_12:46:52","LEM","07_19_01_12:47:02"
"CP_LA_26","LA",26,"T_LA_509",1,"Suspect's","11_11_1628","11_11_28_00:00:00","Privy_Council",,,,0,"LEM","07_19_01_12:49:54","LEM","07_19_01_12:50:33"
"CP_LA_3","LA",3,"T_LA_10",1,"Family_member","4_9_1629","09_04_29_00:00:00","Privy_Council","AF_LA_11",,,0,"LEM","06_12_01_15:21:16","LEM","06_12_01_15:22:06"
"CP_LA_35","LA",35,"T_LA_618",1,"Suspect's","16_3_1630","03_16_30_00:00:00","Privy_Council",,,,0,"LEM","08_15_01_12:40:48","LEM","08_15_01_12:41:01"
"CP_LA_36","LA",36,"T_LA_618",1,"Suspect's","26_5_1630","05_26_30_00:00:00","Privy_Council",,,,0,"LEM","08_15_01_12:51:01","LEM","08_15_01_12:56:52"
"CP_LA_37","LA",37,"T_LA_618",1,"Suspect's","11_11_1630","11_11_30_00:00:00","Privy_Council",,,,0,"LEM","08_15_01_13:17:57","jhm","10_01_02_10:33:36"
"CP_LA_38","LA",38,"T_LA_628",1,"Suspect's","21_4_1630","04_21_30_00:00:00","Privy_Council",,,,0,"LEM","08_16_01_12:48:50","LEM","08_16_01_12:49:02"
"CP_LA_39","LA",39,"T_LA_642",1,"Suspect's","17_3_1629","03_17_29_00:00:00","Privy_Council",,,,0,"LEM","08_16_01_13:47:14","LEM","08_16_01_13:47:37"
"CP_LA_4","LA",4,"T_LA_99",1,"Suspect's","5_7_1631","07_05_31_00:00:00","Privy_Council",,,,0,"LEM","06_14_01_15:49:42","LEM","06_14_01_15:50:00"
"CP_LA_40","LA",40,"T_LA_643",1,"Suspect's","17_3_1629","03_17_29_00:00:00","Privy_Council",,,,0,"LEM","08_16_01_14:05:01","LEM","08_16_01_14:05:09"
